sample,result
5.62650906223962352e+02,5.45697514335703204e+02
5.64103333487517148e+02,5.45893204545106528e+02
5.64302560522133263e+02,5.45920047045073488e+02
5.66067366389121617e+02,5.46157825015533035e+02
5.65755502659323042e+02,5.46115806613012865e+02
5.67698199064801656e+02,5.46377552339213935e+02
5.68167868868340065e+02,5.46440832459522994e+02
5.69920317441007796e+02,5.46676945481756547e+02
5.62533424220196252e+02,5.45681685605861617e+02
5.64119945908474733e+02,5.45895442790088623e+02
5.64319150772374883e+02,5.45922282302907092e+02
5.66001764620834138e+02,5.46148986278497546e+02
5.65771932687803769e+02,5.46118020283556802e+02
5.67795491600492824e+02,5.46390660874875039e+02
5.68103173245522953e+02,5.46432115810588584e+02
5.69936302109987196e+02,5.46679099147541706e+02
5.62617349443980743e+02,5.45692993122355574e+02
5.64119945908474733e+02,5.45895442790088623e+02
5.64385493338563037e+02,5.45931220850451041e+02
5.66083762360357014e+02,5.46160034097419839e+02
5.65755502659323042e+02,5.46115806613012865e+02
5.67795491600492824e+02,5.46390660874875039e+02
5.68103173245522953e+02,5.46432115810588584e+02
5.69872353405760464e+02,5.46670483133257562e+02
5.62533424220196252e+02,5.45681685605861617e+02
5.64103333487517148e+02,5.45893204545106528e+02
5.64402074374129825e+02,5.45933454866755255e+02
5.66067366389121617e+02,5.46157825015533035e+02
5.65722637208769129e+02,5.46111378545226216e+02
5.67779280516449148e+02,5.46388476703481729e+02
5.68103173245522953e+02,5.46432115810588584e+02
5.69904331100953641e+02,5.46674791590822565e+02
5.62583785060833748e+02,5.45688470884601088e+02
5.64202980265790870e+02,5.45906630276471901e+02
5.64319150772374883e+02,5.45922282302907092e+02
5.66050968630069292e+02,5.46155615692767128e+02
5.65739070833152255e+02,5.46113592700259346e+02
5.67698199064801656e+02,5.46377552339213935e+02
5.68135524504874866e+02,5.46436474599608346e+02
5.69840369020684761e+02,5.46666173774345111e+02
