Temperature/C,Temperature/K,Density,Specific_Heat,Thermal_Conductivity
26.85,300,7894,510.37092,12.97
126.85,400,7860,523.76868,14.59
226.85,500,7823,537.16644,16.2
326.85,600,7783,550.5642,17.82
426.85,700,7742,564.38064,19.44
526.85,800,7698,577.7784,21.06
626.85,900,7652,591.17616,22.67
726.85,1000,7603,604.57392,24.29
826.85,1100,7552,617.97168,25.91
926.85,1200,7499,631.78812,27.53
1026.85,1300,7444,645.18588,29.14
1126.85,1400,7386,658.58364,30.76
1226.85,1500,7326,671.9814,32.38
1326.85,1600,7264,685.79784,34
